
!Sample_title	"030064-BC-Brain-Met"	"BC00014-Repeat1"	"BC00057-post-chemo"	"BC00064-RECUR"	"PB362"	"UB67-Repeat1"	"BC00085"	"020577-BC-Brain-Met(=73)"	"Normal-Breast-8"	"BC00078T"	"BC00082T"	"PB432-repeat1"	"030311-BC-Brain-Met"	"982085-BC-Brain-Met"	"BC00030-MET-post chemo"	"BC00048"	"BC00083"	"BC00094T"	"BR94-187"
"ID_REF"	"GSM34435"	"GSM34436"	"GSM34444"	"GSM34469"	"GSM34501"	"GSM34503"	"GSM34509"	"GSM34520"	"GSM34524"	"GSM34551"	"GSM34552"	"GSM52882"	"GSM80214"	"GSM80215"	"GSM80225"	"GSM80228"	"GSM80234"	"GSM80236"	"GSM80239"
112	-3.772	-3.625	-1.518	-3.133	-3.854	-3.727	-4.154	-5.735	-2.546	-3.276	-2.768	-4.007	-3.771	-4.189	-3.594	-5.458	-4.799	-2.955	-1.928
113	.584	-.736	-.111	.47	.753	-.315	1.165	-.123	1.411	.286	.063	1.288	-.466	.759	-.263	.831	-.487	.881	-.118
114	.322	-.13	.1	-.026	-.097	-.068	.115	-.034	.593	-.326	.296	-.364	.375	.262	-.022	.071	-.192	.519	-.127
115	-1.261	-1.997	-1.004	.065	-1.31	-.666	-.259	-1.013	-2.528	-1.843	-.433	.372	-1.482	.31	-.574	-1.998	-1.404	-1.248	-.932
116	-1.941	-2.358	-1.353	-1.459	-.473	-2.208	-1.49	-2.087	-1.128	-2.319	-.766	-.484	-2.514	-.641	-2.15	-1.77	-2.514	-2.171	-1.311
117	-.796	-1.306	-.898	-.931	-1.048	-.543	-.757	-2.14	-.478	-.857	-.645	-.996	-1.038	-.45	-1.31	-.591	-1.172	-.073	-.105
118		.015	0	1.307	.47	-2.175	0		1.571	0	-.533	0	0	-.768	1.421	0	-.846	0	0
119	-3.849	-3.698	-1.61	-3.153	-3.843	-3.448	-4.371	-5.423	-2.408	-3.427	-2.581	-3.947	-3.421	-4.31	-3.569	-5.256	-4.898	-2.861	-1.126
120	-.317	-.424	-.137		-.297	.568	.257	-.788	.551	-1.327	.415	.106	1.433	-1.019	-.004	-1.37	-1.251	-.882	.275
121		.899	0	1.384	2.545	0	0	.145	.932	1.841	0	0	0		0	0	0	0	-.794
122	.55	-.439	-.074	.287	-.142	.123	.198	.249	1.252		.403	-.34	.04	.066	-.391	.06	-.215	.396	.124
123	.638	-.513	.184	-.073	-.653	-.453	-.153	-.646	-.176	.356	1.303	-.174	.044	1.67	.057	.141	-.487	.159	.106
124	-.01	-.353	.05	.241	-.07	-.068	.033	.416	.343	-.448	.309	-.149	-.077	.241	-.119	.265	-.537	.052	-.197
125	-1.244	.482	1.616	.097	-.159	.19	.933	-1.735	-.082	-.484	1.092	-.404	-.348	-1.346	1.144	.424	-.731	.824	-.473
126	-3.586	-3.475	-1.66	-3.099	-3.859	-3.6	-4.443	-5.524	-2.439	-3.448	-2.475	-3.873	-3.582	-4.147	-3.385	-5.435	-4.992	-2.693	-1.789
127		0	0	-.043	0	-.214	.671	.565	0	0	-1.053	0	0	-1.946	0	0	0	0	0
128	-1.044	-.625	-.599	.091	-1.567	-.236	.079	-.666	-2.173		.607	.16	-.502	-2.138	-.413	-2.368	-1.39	.155	-1.086
129	-.828	-1.514	-.647	-.907	-.861	-1.198	-1.183	-2.772	-1.835	-1.611	-1.191	-.821	-1.493	-1.128	-.736	-1.032	-1.393		-.344
130	.175	1.439	3.321	4.126	.599	4.193	1.619	2.952	-.978	-.007	2.723	1.081	.613	-.324	1.843	1.814	1.245	2.074	-.096
131	-.533	-.324	-1.508	-.381	-.671	-1.093	-.839	-.181	-.93	-1.99	-.768	-.125	-.822	-1.401	.242	-.036	-1.313	-1.099	.108
132		0	0	.04	1.534	0	-1.088	.198	0	-1.005	-1.053	.953	0	.983	0	-.875	.285	0	-1.755
133	-3.779	-3.848	-1.556		-3.657	-3.562	-4.513	-5.521	-2.393	-3.801	-2.807	-3.741	-3.807	-4.691	-3.36	-5.157	-4.878	-2.864	-1.893
134	.682	2.222	.005	-1.284	1.63	1.117	-.238	.183	3.205	.183	-.175	-.674	-1.394	.326	.947	1.295	.346	1.022	-.544
135	-.149	-.373	.077	.04	.101	.005	-.502	-.436	.43	-1.092	-.042	-.123	-.77	-.673	-.036	-.101	-.251	-.217	.09
136	.752	.216	1.589	-.871	0	.55	-.352	.884	0	-.339	0	0	.889	.469	.934	1.195	.285	0	-2.704
137	-.442	-.526	.049	-.006	-.01	.241	-.136	-.597	.777	-.697	.735	-.188	.549	-.659	-.337	.418	-.324	.065	.396
138		0	-1.521	-2.707	0	0	0	-1.111	0	0	0	2.047	0	-.768	0	-1.059	0	0	-.048
139	.74	-.319	.489	.545	.034	.955	.286	.341	.769	-.114	.795	.127	.494	.347	.119	.132	-.044	.749	
140	-3.932	-3.39	-1.573	-3.115	-3.56	-3.29	-4.63	-5.288	-2.224	-3.724	-2.678	-3.918	-3.589	-4.291	-3.679	-5.193	-4.849	-2.743	-1.998
141	-.41	-1.069	-.739	-.298	-.519	-.859	-1.06	-.504	-1.141	-2.865	-1.051	-.086	-.053	-.976	-.427	-.436	-.227	-1.436	.93
142	.583	-.223	2.178	-.481	.22	1.677	1.571	-.737	2.024	.108	-.051	-2.122	1.091	-3.332	.181	.575	-2.175	.182	.196
143	.168	-.538	-.358	-.891	-.433	-.522	-.926	.823	-2.04	-2.162	-.591	1.683	1.203	-.479	-.058	-1.751	-.169	.021	-1.933
144	-.636	-.632	-.19	.05	.225	-.497	-.99	-.794	-.791	-.84	.123	.248	.035	-1.168	-.711	-1.22	.44	-.649	-.759
145	-.452	-.39	-.328	.664	.225	-.267	-.5	.076	.554	-.797	.257	.214	-.201	-.766	.013	-.567	-.147	.382	-.356
146	1.165	.205	.137	.573	.475	.396	1.014	.658	1.211	-.828	.519	-.119	.678	.944	.778	.803	-.071	.798	.033
147	-3.573	-3.339	-1.585	-3.024	-3.759	-3.835	-4.301	-5.258	-2.26	-3.305	-2.584	-3.681	-3.295	-4.025	-3.15	-5.222	-4.903	-2.612	-1.693
148	-.127	-.616	-.208	.085	-.016	-.507	.234	-.635	-.145	-.466	.038	-.339	-.042	-.021	-.19	-.079	-.208	-.038	.468
149	.467	-.158	.016	.774	.073	.032	.099	.655	1.466	-.648	.567	-.393	.155	-.142	-.128	-.137	-.096	.55	.143
150	-1.003	-.999	-1.065	-.615	.079	-.782	-1.908	-1.543	-.972	-1.616	-.809	-.274	-2.022	-2.07	-.871	-.313	-1.986	-1.516	-2.087
151	-.567	-.877	-.269	.018	-.252	-.379	-.512	-1.146	-.101	-1.108	-.301	-.295	-.594	-1.212	-.449	-.613	-.941	-.94	.434
152	.254	-.266	-.009	.087	.143	.107	.206	-.016	.827	-.153	.465	-.143	.155	.061	-.155	.032	-.169	.25	.28
153		.703	.401	.802	1.046	-.748	1.425	1.168	-.826	-1.109	-.69	.61	1.052	1.06	.948	-.202	-.846	1.213	1.024
154	-3.698	-3.534	-1.539	-3.026	-3.836	-3.587	-4.246	-4.979	-2.397	-3.526	-2.657	-3.697	-2.214	-3.287	-3.369	-5.425	-5.046	-2.747	-1.763
155	-.711	-1.009	-1.055	-.737	-.399	-.795	-1.098	-2.017	-1.116	-1.581	-.319	-.753	-1.437	-1.688	-.679	-1.445	-1.422	.147	-1.085
